"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Si queremos entusiasmar a los jóvenes campesinos, indígenas, montubios a permanecer en el campo tenemos que lograr… https://t.co/qmW8h0Wkm4",FALSE,560,NA,2020-01-25 14:32:59,TRUE,NA,"1221078517020086277",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",236,FALSE,FALSE,NA,NA
"2","La agricultura y la ganadería serán productivas y rentables cuando existan créditos oportunos, suficientes y barato… https://t.co/DKnvqBWJCf",FALSE,504,NA,2020-01-23 13:05:39,TRUE,NA,"1220331762737459201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",272,FALSE,FALSE,NA,NA
"3","Para que la agricultura <U+0001F33D> y la ganadería<U+0001F404> sean rentables y productivas hay que eliminar al intermediario, que hoy c… https://t.co/prIMYcX14W",FALSE,631,NA,2020-01-21 13:37:24,TRUE,NA,"1219614976303947777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",302,FALSE,FALSE,NA,NA
"4","Casi la mitad de los ecuatorianos viven de la agricultura y la ganadería y la otra mitad consume lo que producen  l… https://t.co/05AgTpTELv",FALSE,948,NA,2020-01-19 22:47:48,TRUE,NA,"1219028713993572353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",377,FALSE,FALSE,NA,NA
"5","Guayaquil recibió al buque más grande que ha arribado a la región, el APL Esplanade, con una eslora de 368.82 mts.… https://t.co/GXOdCrZ9ka",FALSE,971,NA,2020-01-19 18:04:29,TRUE,NA,"1218957413933551617",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",327,FALSE,FALSE,NA,NA
"6","Esta obra significa la refundación de la actividad portuaria de Guayaquil y del Ecuador.
https://t.co/AQBf5UpRKU",FALSE,157,"jaimenebotsaadi",2020-01-17 17:45:08,FALSE,"1218227610288885760","1218227771190718464","24776620","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",97,FALSE,FALSE,NA,NA
"7","El dragado del canal de acceso a los puertos de Guayaquil, una obra soñada y esperada por décadas se hizo realidad,… https://t.co/BYq1wgkbe4",FALSE,475,NA,2020-01-17 17:44:30,TRUE,NA,"1218227610288885760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",222,FALSE,FALSE,NA,NA
"8","Muy feliz navidad y 2020, para mi familia grande. https://t.co/G0KlVNWg2i",FALSE,954,NA,2019-12-24 19:41:32,FALSE,NA,"1209559754357592065",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",232,FALSE,FALSE,NA,NA
"9","Por fin terminamos el Memorial que Jaime Roldós y Martha  Bucaram  merecen más allá de diferencias ideológicas. https://t.co/QoEcWFifjp",FALSE,1452,NA,2019-12-12 12:51:34,FALSE,NA,"1205107926639292416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",280,FALSE,FALSE,NA,NA
"10","¡Viva Quito! https://t.co/ah3GxmtyDW",FALSE,646,NA,2019-12-06 15:16:03,FALSE,NA,"1202969962706542592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",116,FALSE,FALSE,NA,NA
